avatar href,avatar src,nickname,reviews,reviews href,cities,ct-title,num,js_contentAll,ct-text href,ct-extra,ct-extra 2,vertical,ct-extra 3,vertical 2,reply href,js_replyCount,js_likeCount
https://tips.qunar.com/user/profile/191750332.htm,https://qcommons.qunar.com/headshot/headshotsById/191750332.png?m&ssl=true,wntf9185,22篇点评,https://tips.qunar.com/user/profile/191750332.htm?onlycomments,去过7个城市,"对酒店整体还满意,卫生也不错",4,对酒店整体还满意，卫生也不错，就是前台会忽悠，我明定的房型，还忽悠说免费帮我升级了。不诚实。,http://reviewcn.qunar.com/h/hangzhou_18663/305342194,发表于2019年05月22日,家庭出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/305342194#replyAnchor,0,0
https://tips.qunar.com/user/profile/152699472.htm,https://qcommons.qunar.com/headshot/headshotsById/152699472.png?m&ssl=true,fhmi3589,7篇点评,https://tips.qunar.com/user/profile/152699472.htm?onlycomments,去过5个城市,很好家庭房嗯嗯很OK,5,"很好家庭房嗯嗯很OK
#房间设施",http://reviewcn.qunar.com/h/hangzhou_18663/370863633,发表于2019年11月28日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/370863633#replyAnchor,0,0
https://tips.qunar.com/user/profile/152579920.htm,https://qcommons.qunar.com/headshot/headshotsById/152579920.png?m&ssl=true,pwlhtc,5篇点评,https://tips.qunar.com/user/profile/152579920.htm?onlycomments,去过2个城市,风景还不错满意哦很好,5,风景还不错满意哦很好,http://reviewcn.qunar.com/h/hangzhou_18663/370734453,发表于2019年11月27日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/370734453#replyAnchor,0,0
https://tips.qunar.com/user/profile/3080940.htm,https://qcommons.qunar.com/headshot/headshotsById/3080940.png?m&ssl=true,feige1199,18篇点评,https://tips.qunar.com/user/profile/3080940.htm?onlycomments,去过10个城市,"很干净,装修很现代",5,很干净，装修很现代，很满意。,http://reviewcn.qunar.com/h/hangzhou_18663/362173641,发表于2019年10月24日,其他,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/362173641#replyAnchor,0,0
https://tips.qunar.com/user/profile/191730906.htm,https://qcommons.qunar.com/headshot/headshotsById/191730906.png?m&ssl=true,bmis4699,6篇点评,https://tips.qunar.com/user/profile/191730906.htm?onlycomments,去过2个城市,位置交通,5,"#房间设施
#位置交通
#服务",http://reviewcn.qunar.com/h/hangzhou_18663/402323757,发表于2020年04月17日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/402323757#replyAnchor,0,0
https://tips.qunar.com/user/profile/243219814.htm,https://qcommons.qunar.com/headshot/headshotsById/243219814.png?m&ssl=true,jniz3609,4篇点评,https://tips.qunar.com/user/profile/243219814.htm?onlycomments,去过3个城市,房间很大服务很好满意,5,房间很大服务很好满意,http://reviewcn.qunar.com/h/hangzhou_18663/402083403,发表于2020年04月15日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/402083403#replyAnchor,1,0
https://tips.qunar.com/user/profile/0.htm,https://s.qunarzz.com/hotel_ugc_rn/images/reviewList/head-default.png,b***3,4篇点评,https://tips.qunar.com/user/profile/0.htm,去过1个城市,服务态度好卫生干净整洁,5,服务态度好卫生干净整洁,http://reviewcn.qunar.com/h/hangzhou_18663/402055374,发表于2020年04月15日,家庭出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/402055374#replyAnchor,1,0
https://tips.qunar.com/user/profile/225956799.htm,https://qcommons.qunar.com/headshot/headshotsById/225956799.png?m&ssl=true,阿阿阿丁,1篇点评,https://tips.qunar.com/user/profile/225956799.htm?onlycomments,去过1个城市,服务很不错满意满意下次还来,5,服务很不错满意满意下次还来,http://reviewcn.qunar.com/h/hangzhou_18663/401968407,发表于2020年04月14日,商务出行,|,,,http://reviewcn.qunar.com/h/hangzhou_18663/401968407#replyAnchor,1,0
https://tips.qunar.com/user/profile/273728109.htm,https://qcommons.qunar.com/headshot/headshotsById/273728109.png?m&ssl=true,pixp6339,4篇点评,https://tips.qunar.com/user/profile/273728109.htm?onlycomments,去过2个城市,服务很好很满意满意manyq,5,服务很好很满意满意manyq,http://reviewcn.qunar.com/h/hangzhou_18663/401952810,发表于2020年04月14日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/401952810#replyAnchor,1,0
https://tips.qunar.com/user/profile/209365421.htm,https://qcommons.qunar.com/headshot/headshotsById/209365421.png?m&ssl=true,ycip3436,2篇点评,https://tips.qunar.com/user/profile/209365421.htm?onlycomments,去过2个城市,房间很不错满意满意满意,5,房间很不错满意满意满意,http://reviewcn.qunar.com/h/hangzhou_18663/369904503,发表于2019年11月22日,商务出行,|,经去哪儿网预订,|,http://reviewcn.qunar.com/h/hangzhou_18663/369904503#replyAnchor,0,0
